"provided","standard"
"Lucas","Lucas"
"Mahoning","Mahoning"
"Medina","Medina"
"Meigs","Meigs"
"Miami","Miami"
"Morrow","Morrow"
"Muskingum","Muskingum"
"Noble","Noble"
"Paulding","Paulding"
"Pickaway","Pickaway"
"Portage","Portage"
"Preble","Preble"
"Ross","Ross"
"Sandusky","Sandusky"
"Scioto","Scioto"
"Summit","Summit"
"Trumbull","Trumbull"
"Tuscarawas","Tuscarawas"
"Van Wert","Van Wert"
"Wood","Wood"
"Wyandot","Wyandot"
"Alfalfa","Alfalfa"
"Atoka","Atoka"
"Beaver","Beaver"
"Beckham","Beckham"
"Bryan","Bryan"
"Canadian","Canadian"
"Comanche","Comanche"
"Cotton","Cotton"
"Craig","Craig"
"Creek","Creek"
"Dewey","Dewey"
"Garfield","Garfield"
"Garvin","Garvin"
"Grady","Grady"
"Greer","Greer"
"Haskell","Haskell"
"Kay","Kay"
"Kingfisher","Kingfisher"
"Kiowa","Kiowa"
"Latimer","Latimer"
"Le Flore","Le Flore"
"Love","Love"
"Major","Major"
"Mayes","Mayes"
"McClain","McClain"
"McCurtain","McCurtain"
"Muskogee","Muskogee"
"Nowata","Nowata"
"Okfuskee","Okfuskee"
"Oklahoma","Oklahoma"
"Okmulgee","Okmulgee"
"Pawnee","Pawnee"
"Payne","Payne"
"Pittsburg","Pittsburg"
"Pottawatomie","Pottawatomie"
"Rogers","Rogers"
"Seminole","Seminole"
"Sequoyah","Sequoyah"
"Stephens","Stephens"
"Texas","Texas"
"Tillman","Tillman"
"Tulsa","Tulsa"
"Wagoner","Wagoner"
"Woods","Woods"
"Woodward","Woodward"
"Clackamas","Clackamas"
"Clatsop","Clatsop"
"Crook","Crook"
"Deschutes","Deschutes"
"Hood River","Hood River"
"Josephine","Josephine"
"Klamath","Klamath"
"Lane","Lane"
"Malheur","Malheur"
"Multnomah","Multnomah"
"Tillamook","Tillamook"
"Umatilla","Umatilla"
"Wallowa","Wallowa"
"Wasco","Wasco"
"Yamhill","Yamhill"
"Allegheny","Allegheny"
"Armstrong","Armstrong"
"Bedford","Bedford"
"Berks","Berks"
"Blair","Blair"
"Bradford","Bradford"
"Bucks","Bucks"
"Clarion","Clarion"
"Clearfield","Clearfield"
"Elk","Elk"
"Forest","Forest"
"Huntingdon","Huntingdon"
"Juniata","Juniata"
"Lycoming","Lycoming"
"McKean","McKean"
"Mifflin","Mifflin"
"Montour","Montour"
"Northumberland","Northumberland"
"Potter","Potter"
"Venango","Venango"
